project,type,status,spec_name,filename,line,PRs
SigmaHQ-pySigma,project,PR Opened,BuiltinAllAnalysis,sigma/processing/pipeline.py,540,https://github.com/SigmaHQ/pySigma/pull/437
SigmaHQ-pySigma,project,PR Opened,BuiltinAllAnalysis,sigma/processing/pipeline.py,557,https://github.com/SigmaHQ/pySigma/pull/437
SigmaHQ-pySigma,project,PR Opened,BuiltinAllAnalysis,sigma/processing/pipeline.py,581,https://github.com/SigmaHQ/pySigma/pull/437
SigmaHQ-pySigma,project,PR Opened,BuiltinAllAnalysis,sigma/processing/pipeline.py,606,https://github.com/SigmaHQ/pySigma/pull/437
AlexRiina-checkmyreqs,project,PR Opened,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1901, https://github.com/AlexRiina/checkmyreqs/pull/1
Arcadia-Science-readlif,project,PR Opened,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1872,https://github.com/Arcadia-Science/readlif/pull/67
Building-Transparency-ECHO-schema,project,PR Opened,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1873,https://github.com/Building-Transparency/ECHO-schema/pull/5
CMakePP-CMinx,project,PR Accepted,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1874,https://github.com/CMakePP/CMinx/pull/175
DCZYewen-Python-Silk-Module,project,PR Accepted,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1875,https://github.com/DCZYewen/Python-Silk-Module/pull/12
K0lb3-UnityPy,project,PR Opened,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1876,https://github.com/K0lb3/UnityPy/pull/358
OnroerendErfgoed-skosprovider_rdf,project,PR Opened,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1879,https://github.com/OnroerendErfgoed/skosprovider_rdf/pull/132
SigmaHQ-pySigma,project,PR Opened,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1880,https://github.com/SigmaHQ/pySigma/pull/438
bcwaldon-warlock,project,PR Opened,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1882,https://github.com/bcwaldon/warlock/pull/70
bjhall-upd,project,PR Opened,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1883,https://github.com/bjhall/upd/pull/10
by-cx-InvoiceGenerator,project,PR Opened,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1884,https://github.com/by-cx/InvoiceGenerator/pull/55
cernopendata-cernopendata-client,project,PR Opened,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1885,https://github.com/cernopendata/cernopendata-client/pull/176
cisagov-clamav-report,project,PR Accepted,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1886,https://github.com/cisagov/clamav-report/pull/49
citrusvanilla-tinyflux,project,PR Opened,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1887,https://github.com/citrusvanilla/tinyflux/pull/62
dundee-mypy2junit,project,PR Opened,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1888,https://github.com/dundee/mypy2junit/pull/7
dvc94ch-pykicad,project,PR Accepted,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1889,https://github.com/dvc94ch/pykicad/pull/43
geekscape-aiko_services,project,PR Opened,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1890,https://github.com/geekscape/aiko_services/pull/53
gutomaia-nesasm_py,project,PR Opened,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1891,https://github.com/gutomaia/nesasm_py/pull/11
hfaran-Tornado-JSON,project,PR Opened,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1892,https://github.com/hfaran/Tornado-JSON/pull/115
intezer-analyze-python-sdk,project,PR Opened,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1893,https://github.com/intezer/analyze-python-sdk/pull/167
lsst-ts-ts_xml,project,PR Opened,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1894,https://github.com/lsst-ts/ts_xml/pull/1054
macbre-mediawiki-dump,project,PR Opened,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1895,https://github.com/macbre/mediawiki-dump/pull/302
microscopexyz-chainmetareader,project,PR Opened,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1896,https://github.com/microscopexyz/chainmetareader/pull/106
ncrocfer-whatportis,project,PR Opened,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1897,https://github.com/ncrocfer/whatportis/pull/25/changes
omergertel-pyformance,project,PR Opened,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1898,https://github.com/omergertel/pyformance/pull/82
passaH2O-dorado,project,PR Accepted,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1899,https://github.com/passaH2O/dorado/pull/59
sckott-habanero,project,PR Accepted,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1900,https://github.com/sckott/habanero/pull/206
sekipaolo-pypingdom,project,PR Opened,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1901,https://github.com/sekipaolo/pypingdom/pull/130
visgl-deck.gl,project,PR Accepted,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1901,https://github.com/visgl/deck.gl/pull/9500
PaloAltoNetworks-xsoar-panos-upgrade-automation,project,PR Opened,FileClosedAnalysis,pythonmop/pymop-startup-helper/sitecustomize.py,1901,https://github.com/PaloAltoNetworks/xsoar-panos-upgrade-automation/pull/56
tigrus-dadata-python,project,PR Opened,HostnamesTerminatesWithSlash,tests/test_address.py,105,https://github.com/tigrus/dadata-python/pull/4
psf-requests,library,PR Accepted,HostnamesTerminatesWithSlash,tests/test_requests.py,1620,https://github.com/psf/requests/pull/6936
intuit-mastko,project,PR Opened,InPlaceSortAnalysis,mastko/lib/aws_cidr.py,67,https://github.com/intuit/mastko/pull/3
jgressier-cfdtools,project,PR Opened,InPlaceSortAnalysis,cfdtools/meshbase/_connectivity.py,280,https://github.com/jgressier/cfdtools/pull/57
neulab-compare-mt,project,False Positive,InPlaceSortAnalysis,compare_mt/compare_mt_main.py,456,
AliAkhtari78-SpotifyScraper,library,Not on GitHub,InPlaceSortAnalysis,bs4/dammit.py,158,
AlvaroMenduina-ZERN,library,False Positive,InPlaceSortAnalysis,pyparsing/util.py,273,
EDCD-EDMarketConnector,library,False Positive,InPlaceSortAnalysis,coverage/results.py,331,
EDCD-EDMarketConnector,library,False Positive,InPlaceSortAnalysis,coverage/results.py,332,
Nazime-coloring,library,False Positive,InPlaceSortAnalysis,hypothesis/internal/conjecture/floats.py,92,
OnroerendErfgoed-skosprovider_rdf,library,False Positive,InPlaceSortAnalysis,html5lib/_trie/py.py,15,
SigmaHQ-pySigma,library,False Positive,InPlaceSortAnalysis,_pytest/cacheprovider.py,475,
andgineer-hrcomparison,library,False Positive,InPlaceSortAnalysis,pyparsing/unicode.py,63,
andgineer-hrcomparison,library,False Positive,InPlaceSortAnalysis,pyparsing/util.py,210,
benoitc-gunicorn,library,False Positive,InPlaceSortAnalysis,coverage/xmlreport.py,214,
blablatdinov-deltaver,library,False Positive,InPlaceSortAnalysis,deltaver/sorted_package_list.py,45,
brews-bayfox,library,False Positive,InPlaceSortAnalysis,pyparsing/util.py,290,
