project,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,memory_usage,statement_coverage,branch_coverage,total_violations,violations,unique_violations,unique_violations_count,violations_by_location,total_monitors,monitors,total_events,events,end_to_end_start_time,end_to_end_end_time,time_instrumentation_start,time_instrumentation_end,time_create_monitor_end,time_post_run_start,time_post_run_end,pymop_ast_time,pymop_start_time
18F-identity-terraform,original,9,0,0,0,0,0,0.48,original,0.0,0.0,0.8538930416107178,0.0,0.8538930416107178,73576,73.2,42.4,x,,x,x,,x,,x,,1769409451.536375,1769409452.390268,x,x,x,x,x,x,x
18F-identity-terraform,D,9,0,0,0,0,0,0.9,pymop,5.623406033508301,1.300917148590088,1.4481870126800538,0.0,8.372510194778442,259064,x,x,0,,0,,,241,WrongTypeAddedAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>StringConcatAnalysis=1<>BuiltinAllAnalysis=1<>InPlaceSortAnalysis=1<>PyDocs_MustLockOnce=1<>InvalidComparisonAnalysis=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>StringStripAnalysis=1<>PyDocs_UselessIterTee=1<>ComparisonBehaviorAnalysis=1<>NLTK_regexp_span_tokenize=1<>FileClosedAnalysis=52<>UnsafeDictIterator=98<>UnsafeListIterator=78,2137,WrongTypeAddedAnalysis=check_append=295<>WrongTypeAddedAnalysis=check_insert=295<>WrongTypeAddedAnalysis=check_extend=295<>WrongTypeAddedAnalysis=check_add=295<>WrongTypeAddedAnalysis=check_add_assign=20<>StringConcatAnalysis=add=20<>BuiltinAllAnalysis=violation=286<>InPlaceSortAnalysis=list_used=37<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=7<>NonFinitesAnalysis=non_finite_op=286<>PyDocs_UselessIterTee=end=1<>ComparisonBehaviorAnalysis=eq_end=7<>FileClosedAnalysis=open=27<>FileClosedAnalysis=close=26<>FileClosedAnalysis=end=25<>UnsafeDictIterator=createDict=103<>UnsafeDictIterator=updateDict=25<>UnsafeListIterator=createList=84<>UnsafeListIterator=updateList=2,1769409484.3384237,1769409492.710934,x,1769409489.6507378,1769409490.951655,x,x,0.311092,1769409486.7287657
18F-identity-terraform,D,9,0,0,0,0,0,21.64,pymop_libs,21.795320372497557,0.7302298545837402,19.0436808062439,0.0,41.569231033325195,357936,x,x,22,InvalidComparisonAnalysis=6;ComparisonBehaviorAnalysis=16,4,InvalidComparisonAnalysis=3;ComparisonBehaviorAnalysis=1;,/identity-terraform/venv/lib/python3.12/site-packages/yaml/constructor.py:266:InvalidComparisonAnalysis=1;/identity-terraform/venv/lib/python3.12/site-packages/botocore/serialize.py:265:InvalidComparisonAnalysis=1;/identity-terraform/venv/lib/python3.12/site-packages/botocore/serialize.py:267:InvalidComparisonAnalysis=1;/identity-terraform/venv/lib/python3.12/site-packages/botocore/stub.py:402:ComparisonBehaviorAnalysis=1,7520,UnsafeListIterator=4527<>WrongTypeAddedAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>StringConcatAnalysis=1<>BuiltinAllAnalysis=1<>InPlaceSortAnalysis=1<>NLTK_NonterminalSymbolMutability=22<>PyDocs_MustLockOnce=1<>InvalidComparisonAnalysis=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>StringStripAnalysis=1<>PyDocs_UselessIterTee=1<>ComparisonBehaviorAnalysis=1<>NLTK_regexp_span_tokenize=1<>UnsafeDictIterator=2853<>ArgParse_Parent=1<>FileClosedAnalysis=52<>faulthandler_disableBeforeClose=1<>PyDocs_MustSortBeforeGroupBy=49<>Pydocs_MustReleaseLock=2,1056444,UnsafeListIterator=createList=8680<>UnsafeListIterator=updateList=2614<>WrongTypeAddedAnalysis=check_append=171813<>WrongTypeAddedAnalysis=check_insert=171813<>WrongTypeAddedAnalysis=check_extend=171813<>WrongTypeAddedAnalysis=check_add=171813<>WrongTypeAddedAnalysis=check_add_assign=6183<>StringConcatAnalysis=add=6183<>BuiltinAllAnalysis=violation=158228<>InPlaceSortAnalysis=list_used=11643<>InPlaceSortAnalysis=list_sorted=70<>InPlaceSortAnalysis=end_execution=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>InvalidComparisonAnalysis=after_comparison=3933<>NonFinitesAnalysis=non_finite_op=158054<>StringStripAnalysis=strip=31<>PyDocs_UselessIterTee=end=1<>ComparisonBehaviorAnalysis=ne_end=488<>ComparisonBehaviorAnalysis=eq_end=3421<>UnsafeDictIterator=createDict=3395<>UnsafeDictIterator=updateDict=6081<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=27<>FileClosedAnalysis=close=26<>FileClosedAnalysis=end=25<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>PyDocs_MustSortBeforeGroupBy=sort=53<>PyDocs_MustSortBeforeGroupBy=modify=20<>Pydocs_MustReleaseLock=acquire=4<>Pydocs_MustReleaseLock=release=4<>Pydocs_MustReleaseLock=end=1,1769409520.4290988,1769409561.9983299,x,1769409534.2899072,1769409535.020137,x,x,7.934512,1769409522.611884
283375-arcaea-offline,original,3,0,0,0,0,0,0.36,original,0.0,0.0,0.5977573394775391,0.0,0.5977573394775391,60584,100.0,100.0,x,,x,x,,x,,x,,1769410292.6386821,1769410293.2364395,x,x,x,x,x,x,x
283375-arcaea-offline,D,3,0,0,0,0,0,0.55,pymop,5.812449554595947,1.2492294311523438,0.5817004640960693,0.0,7.64337944984436,243084,x,x,0,,0,,,38,WrongTypeAddedAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>StringConcatAnalysis=1<>BuiltinAllAnalysis=1<>InPlaceSortAnalysis=1<>PyDocs_MustLockOnce=1<>InvalidComparisonAnalysis=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>StringStripAnalysis=1<>PyDocs_UselessIterTee=1<>ComparisonBehaviorAnalysis=1<>NLTK_regexp_span_tokenize=1<>FileClosedAnalysis=12<>UnsafeDictIterator=10<>UnsafeListIterator=3,572,WrongTypeAddedAnalysis=check_append=83<>WrongTypeAddedAnalysis=check_insert=83<>WrongTypeAddedAnalysis=check_extend=83<>WrongTypeAddedAnalysis=check_add=83<>BuiltinAllAnalysis=violation=83<>InPlaceSortAnalysis=list_used=1<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=14<>NonFinitesAnalysis=non_finite_op=83<>PyDocs_UselessIterTee=end=1<>ComparisonBehaviorAnalysis=eq_end=14<>FileClosedAnalysis=open=7<>FileClosedAnalysis=close=6<>FileClosedAnalysis=end=5<>UnsafeDictIterator=createDict=11<>UnsafeDictIterator=updateDict=11<>UnsafeListIterator=createList=3,1769410323.2616494,1769410330.9050288,x,1769410328.610689,1769410329.8599184,x,x,0.46341,1769410325.9612272
283375-arcaea-offline,D,3,0,0,0,0,0,62.04,pymop_libs,61.89383925520325,0.7234048843383789,17.5389462558136,0.0,80.15619039535522,394752,x,x,22,WrongTypeAddedAnalysis=3;ComparisonBehaviorAnalysis=19,21,WrongTypeAddedAnalysis=2;ComparisonBehaviorAnalysis=19;,/arcaea-offline/venv/lib/python3.12/site-packages/_pytest/fixtures.py:1639:WrongTypeAddedAnalysis=1;/arcaea-offline/venv/lib/python3.12/site-packages/sqlalchemy/util/langhelpers.py:323:WrongTypeAddedAnalysis=1;/arcaea-offline/venv/lib/python3.12/site-packages/arcaea_offline/models/songs.py:235:ComparisonBehaviorAnalysis=1;/arcaea-offline/venv/lib/python3.12/site-packages/arcaea_offline/models/songs.py:236:ComparisonBehaviorAnalysis=1;/arcaea-offline/venv/lib/python3.12/site-packages/arcaea_offline/models/songs.py:238:ComparisonBehaviorAnalysis=1;/arcaea-offline/venv/lib/python3.12/site-packages/arcaea_offline/models/scores.py:123:ComparisonBehaviorAnalysis=1;/arcaea-offline/venv/lib/python3.12/site-packages/arcaea_offline/models/scores.py:124:ComparisonBehaviorAnalysis=1;/arcaea-offline/venv/lib/python3.12/site-packages/arcaea_offline/models/scores.py:128:ComparisonBehaviorAnalysis=1;/arcaea-offline/venv/lib/python3.12/site-packages/arcaea_offline/models/scores.py:129:ComparisonBehaviorAnalysis=1;/arcaea-offline/venv/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:751:ComparisonBehaviorAnalysis=6;/arcaea-offline/venv/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1411:ComparisonBehaviorAnalysis=6,14425,UnsafeListIterator=8972<>WrongTypeAddedAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>StringConcatAnalysis=1<>BuiltinAllAnalysis=1<>InPlaceSortAnalysis=1<>NLTK_NonterminalSymbolMutability=22<>PyDocs_MustLockOnce=1<>InvalidComparisonAnalysis=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>StringStripAnalysis=1<>PyDocs_UselessIterTee=1<>ComparisonBehaviorAnalysis=1<>NLTK_regexp_span_tokenize=1<>UnsafeDictIterator=5332<>ArgParse_Parent=6<>FileClosedAnalysis=12<>faulthandler_disableBeforeClose=1<>PyDocs_MustSortBeforeGroupBy=45<>Pydocs_MustReleaseLock=22,2164946,UnsafeListIterator=createList=14130<>UnsafeListIterator=updateList=12330<>UnsafeListIterator=createIter=785<>UnsafeListIterator=next=1826<>WrongTypeAddedAnalysis=check_append=280867<>WrongTypeAddedAnalysis=check_insert=280867<>WrongTypeAddedAnalysis=check_extend=280867<>WrongTypeAddedAnalysis=check_add=280867<>WrongTypeAddedAnalysis=check_add_assign=21988<>StringConcatAnalysis=add=21988<>BuiltinAllAnalysis=violation=452490<>InPlaceSortAnalysis=list_used=30782<>InPlaceSortAnalysis=list_sorted=208<>InPlaceSortAnalysis=end_execution=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>InvalidComparisonAnalysis=after_comparison=6286<>NonFinitesAnalysis=non_finite_op=452338<>StringStripAnalysis=strip=3466<>PyDocs_UselessIterTee=end=1<>ComparisonBehaviorAnalysis=ne_end=2884<>ComparisonBehaviorAnalysis=eq_end=3378<>UnsafeDictIterator=createDict=7267<>UnsafeDictIterator=updateDict=9036<>ArgParse_Parent=created=6<>ArgParse_Parent=argument_added=6<>FileClosedAnalysis=open=7<>FileClosedAnalysis=close=6<>FileClosedAnalysis=end=5<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>PyDocs_MustSortBeforeGroupBy=sort=52<>PyDocs_MustSortBeforeGroupBy=modify=41<>Pydocs_MustReleaseLock=acquire=68<>Pydocs_MustReleaseLock=release=68<>Pydocs_MustReleaseLock=end=11,1769410358.01308,1769410438.1692703,x,1769410370.1654801,1769410370.888885,x,x,49.741439,1769410360.134887
A-F-V-Refactoring-Agent,original,1,0,0,0,0,0,0.01,original,0.0,0.0,1.0195181369781494,0.0,1.0195181369781494,74756,0.7,0.0,x,,x,x,,x,,x,,1769406639.139326,1769406640.1588442,x,x,x,x,x,x,x
A-F-V-Refactoring-Agent,D,1,0,0,0,0,0,0.1,pymop,2.533062566970825,1.0133090019226074,14.539751420761108,0.0,18.08612298965454,391384,x,x,0,,0,,,149,WrongTypeAddedAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>StringConcatAnalysis=1<>BuiltinAllAnalysis=1<>InPlaceSortAnalysis=1<>PyDocs_MustLockOnce=1<>InvalidComparisonAnalysis=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>StringStripAnalysis=1<>PyDocs_UselessIterTee=1<>ComparisonBehaviorAnalysis=1<>NLTK_regexp_span_tokenize=1<>FileClosedAnalysis=136,206,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=69<>FileClosedAnalysis=close=68<>FileClosedAnalysis=end=67,1769406740.6891055,1769406758.7752285,x,1769406743.163119,1769406744.176428,x,x,0.059049,1769406742.8369055
A-F-V-Refactoring-Agent,D,1,0,0,0,0,0,0.58,pymop_libs,61.69561578852844,0.6961052417755127,5.691756705215454,0.0,68.08347773551941,544816,x,x,4,WrongTypeAddedAnalysis=2;Pydocs_UselessThreadPoolExecutor=1;Pydocs_MustShutdownThreadPoolExecutor=1,4,WrongTypeAddedAnalysis=2;Pydocs_UselessThreadPoolExecutor=1;Pydocs_MustShutdownThreadPoolExecutor=1;,/Refactoring-Agent/venv/lib/python3.12/site-packages/click/decorators.py:321:WrongTypeAddedAnalysis=1;/Refactoring-Agent/venv/lib/python3.12/site-packages/_pytest/fixtures.py:1851:WrongTypeAddedAnalysis=1;/mop-with-dynapt/pythonmop/pymop-startup-helper/sitecustomize.py:1901:Pydocs_UselessThreadPoolExecutor=1;/mop-with-dynapt/pythonmop/pymop-startup-helper/sitecustomize.py:1901:Pydocs_MustShutdownThreadPoolExecutor=1,8700,UnsafeListIterator=5270<>WrongTypeAddedAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>StringConcatAnalysis=1<>BuiltinAllAnalysis=1<>InPlaceSortAnalysis=1<>NLTK_NonterminalSymbolMutability=32<>PyDocs_MustLockOnce=1<>InvalidComparisonAnalysis=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>StringStripAnalysis=1<>PyDocs_UselessIterTee=1<>ComparisonBehaviorAnalysis=1<>NLTK_regexp_span_tokenize=1<>UnsafeDictIterator=3236<>ArgParse_Parent=1<>FileClosedAnalysis=136<>PyDocs_MustSortBeforeGroupBy=7<>Pydocs_UselessThreadPoolExecutor=2<>Pydocs_MustShutdownThreadPoolExecutor=2<>faulthandler_disableBeforeClose=1,1335886,UnsafeListIterator=createList=9900<>UnsafeListIterator=updateList=3952<>WrongTypeAddedAnalysis=check_append=199460<>WrongTypeAddedAnalysis=check_insert=199460<>WrongTypeAddedAnalysis=check_extend=199460<>WrongTypeAddedAnalysis=check_add=199460<>WrongTypeAddedAnalysis=check_add_assign=3917<>StringConcatAnalysis=add=3917<>BuiltinAllAnalysis=violation=199800<>InPlaceSortAnalysis=list_used=20428<>InPlaceSortAnalysis=list_sorted=22<>InPlaceSortAnalysis=end_execution=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=32<>InvalidComparisonAnalysis=after_comparison=43502<>NonFinitesAnalysis=non_finite_op=199604<>StringStripAnalysis=strip=43<>PyDocs_UselessIterTee=end=1<>ComparisonBehaviorAnalysis=ne_end=1372<>ComparisonBehaviorAnalysis=eq_end=42106<>UnsafeDictIterator=createDict=4430<>UnsafeDictIterator=updateDict=4799<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=69<>FileClosedAnalysis=close=68<>FileClosedAnalysis=end=67<>PyDocs_MustSortBeforeGroupBy=sort=7<>PyDocs_MustSortBeforeGroupBy=modify=1<>Pydocs_UselessThreadPoolExecutor=new_pool=1<>Pydocs_UselessThreadPoolExecutor=end=1<>Pydocs_MustShutdownThreadPoolExecutor=new_pool=1<>Pydocs_MustShutdownThreadPoolExecutor=end=1<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,1769406855.2005317,1769406923.2840095,x,1769406882.1174755,1769406882.8135808,x,x,34.778672,1769406879.9537697
APS-Networks-bfrt-helper,original,129,0,0,0,0,0,0.21,original,0.0,0.0,0.6174120903015137,0.0,0.6174120903015137,32032,40.5,9.9,x,,x,x,,x,,x,,1769410000.3882127,1769410001.0056248,x,x,x,x,x,x,x
