project,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,memory_usage,total_violations,violations,unique_violations,unique_violations_count,violations_by_location,total_monitors,monitors,total_events,events,end_to_end_start_time,end_to_end_end_time,time_instrumentation_start,time_instrumentation_end,time_create_monitor_end,time_post_run_start,time_post_run_end,pymop_ast_time,pymop_start_time
18F-identity-terraform,original,9,0,0,0,0,0,0.46,original,0.0,0.0,0.7923705577850342,0.0,0.7923705577850342,73700,x,,x,x,,x,,x,,1768888758.8090482,1768888759.6014187,x,x,x,x,x,x,x
18F-identity-terraform,D,9,0,0,0,0,0,0.46,pymop,2.550744275543213,0.007416248321533203,0.6323054032592774,0.0,3.1904659271240234,199900,0,,0,,,25,UnsafeListIterator=1<>Console_CloseReader=1<>WrongTypeAddedAnalysis=1<>Arrays_Comparable=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>Session_DataMustOpenInBinary=1<>StringConcatAnalysis=1<>Console_CloseWriter=1<>BuiltinAllAnalysis=1<>InPlaceSortAnalysis=1<>Thread_OverrideRun=1<>socket_setdefaulttimeout=1<>ItemInList=1<>Console_CloseErrorWriter=1<>socket_create_connection=1<>HostnamesTerminatesWithSlash=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>Sets_Comparable=1<>PriorityQueue_NonComparable=1<>RandomRandrange_MustNotUseKwargs=1<>RandomParams_NoPositives=1<>StringStripAnalysis=1<>socket_socket_settimeout=1<>NLTK_regexp_span_tokenize=1<>Requests_DataMustOpenInBinary=1,1582,UnsafeListIterator=for_loop_start=19<>UnsafeListIterator=end_loop_list_changed=19<>WrongTypeAddedAnalysis=check_append=295<>WrongTypeAddedAnalysis=check_insert=295<>WrongTypeAddedAnalysis=check_extend=295<>WrongTypeAddedAnalysis=check_add=295<>WrongTypeAddedAnalysis=check_add_assign=20<>StringConcatAnalysis=add=20<>BuiltinAllAnalysis=violation=286<>InPlaceSortAnalysis=list_used=37<>InPlaceSortAnalysis=end_execution=1,1768888846.7865458,1768888849.9770117,x,1768888849.083343,1768888849.0907593,x,x,0.253947,1768888848.9838483
18F-identity-terraform,dynapyt,9,0,0,0,0,0,0.61,dynapyt,1.2412853240966797,0.0,0.9621703624725342,0.0,2.203455686569214,80952,0,,0,,,x,,x,,1768888816.3885653,1768888817.3507357,1768888815.1254003,1768888816.3666856,x,x,x,x,x
18F-identity-terraform,dylin,9,0,0,0,0,0,0.62,dylin,1.277543067932129,0.0,0.9512076377868652,0.31955885887145996,2.228750705718994,80680,0,,0,,,x,,x,,1768888944.6195836,1768888945.5707912,1768888943.319823,1768888944.597366,x,1768888945.5944672,1768888945.914026,x,x
18F-identity-terraform,D,9,0,0,0,0,0,11.79,pymop_libs,10.27714875201416,0.007365703582763672,7.17239377041626,0.0,17.456908226013184,228940,1,WrongTypeAddedAnalysis=1,1,WrongTypeAddedAnalysis=1,/identity-terraform/venv/lib/python3.12/site-packages/_pytest/fixtures.py:1851:WrongTypeAddedAnalysis=1,25,UnsafeListIterator=1<>Console_CloseReader=1<>WrongTypeAddedAnalysis=1<>Arrays_Comparable=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>Session_DataMustOpenInBinary=1<>StringConcatAnalysis=1<>Console_CloseWriter=1<>BuiltinAllAnalysis=1<>InPlaceSortAnalysis=1<>Thread_OverrideRun=1<>socket_setdefaulttimeout=1<>ItemInList=1<>Console_CloseErrorWriter=1<>socket_create_connection=1<>HostnamesTerminatesWithSlash=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>Sets_Comparable=1<>PriorityQueue_NonComparable=1<>RandomRandrange_MustNotUseKwargs=1<>RandomParams_NoPositives=1<>StringStripAnalysis=1<>socket_socket_settimeout=1<>NLTK_regexp_span_tokenize=1<>Requests_DataMustOpenInBinary=1,899022,UnsafeListIterator=for_loop_start=12742<>UnsafeListIterator=end_loop_list_changed=12742<>WrongTypeAddedAnalysis=check_append=172429<>WrongTypeAddedAnalysis=check_insert=172429<>WrongTypeAddedAnalysis=check_extend=172429<>WrongTypeAddedAnalysis=check_add=172429<>WrongTypeAddedAnalysis=check_add_assign=5917<>Arrays_Comparable=invalid_sorted=70<>StringConcatAnalysis=add=5917<>BuiltinAllAnalysis=violation=158910<>InPlaceSortAnalysis=list_used=12471<>InPlaceSortAnalysis=list_sorted=70<>InPlaceSortAnalysis=end_execution=1<>ItemInList=list_contains=367<>Sets_Comparable=invalid_sorted=70<>StringStripAnalysis=strip=29,1768889163.3765194,1768889180.8334277,x,1768889166.8121512,1768889166.819517,x,x,6.841517,1768889165.44556
18F-identity-terraform,dynapyt_libs,x,x,x,x,x,x,x,dynapyt_libs,1996.5786106586456,0.0,x,0.0,x,108544,x,x,x,x,x,x,,x,,1768891234.6242385,1768891239.6347723,1768889232.8840723,1768891229.462683,x,x,x,x,x
283375-arcaea-offline,original,3,0,0,0,0,0,0.38,original,0.0,0.0,0.6495022773742676,0.0,0.6495022773742676,60396,x,,x,x,,x,,x,,1768885223.1647162,1768885223.8142185,x,x,x,x,x,x,x
283375-arcaea-offline,D,3,0,0,0,0,0,0.52,pymop,3.183802632675171,0.007018089294433594,0.4353389459991455,0.0,3.62615966796875,177840,0,,0,,,22,UnsafeListIterator=1<>Console_CloseReader=1<>WrongTypeAddedAnalysis=1<>Arrays_Comparable=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>StringConcatAnalysis=1<>Console_CloseWriter=1<>BuiltinAllAnalysis=1<>InPlaceSortAnalysis=1<>Thread_OverrideRun=1<>socket_setdefaulttimeout=1<>ItemInList=1<>Console_CloseErrorWriter=1<>socket_create_connection=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>Sets_Comparable=1<>PriorityQueue_NonComparable=1<>RandomRandrange_MustNotUseKwargs=1<>RandomParams_NoPositives=1<>StringStripAnalysis=1<>socket_socket_settimeout=1<>NLTK_regexp_span_tokenize=1,418,WrongTypeAddedAnalysis=check_append=83<>WrongTypeAddedAnalysis=check_insert=83<>WrongTypeAddedAnalysis=check_extend=83<>WrongTypeAddedAnalysis=check_add=83<>BuiltinAllAnalysis=violation=83<>InPlaceSortAnalysis=list_used=1<>InPlaceSortAnalysis=end_execution=1<>ItemInList=list_contains=1,1768885311.1672094,1768885314.793369,x,1768885313.943027,1768885313.950045,x,x,0.407985,1768885313.8831286
283375-arcaea-offline,dynapyt,3,0,0,0,0,0,0.57,dynapyt,4.809576034545898,0.0,0.8429105281829834,0.0,5.652486562728882,68568,0,,0,,,x,,x,,1768885282.828607,1768885283.6715176,1768885277.9964592,1768885282.8060353,x,x,x,x,x
283375-arcaea-offline,dylin,3,0,0,0,0,0,0.54,dylin,4.731593608856201,0.0,0.7973852157592773,0.3259434700012207,5.5289788246154785,67940,0,,0,,,x,,x,,1768885408.063957,1768885408.8613422,1768885403.309465,1768885408.0410585,x,1768885408.8846679,1768885409.2106113,x,x
