Project,Type,Spec,PRs,Status
SigmaHQ-pySigma,project,BuiltinAllAnalysis,https://github.com/SigmaHQ/pySigma/pull/437,PR Opened
AlexRiina-checkmyreqs,project,FileClosedAnalysis,https://github.com/AlexRiina/checkmyreqs/pull/1,PR Opened
Arcadia-Science-readlif,project,FileClosedAnalysis,https://github.com/Arcadia-Science/readlif/pull/67,PR Opened
Building-Transparency-ECHO-schema,project,FileClosedAnalysis,https://github.com/Building-Transparency/ECHO-schema/pull/5,PR Opened
CMakePP-CMinx,project,FileClosedAnalysis,https://github.com/CMakePP/CMinx/pull/175,PR Accepted
DCZYewen-Python-Silk-Module,project,FileClosedAnalysis,https://github.com/DCZYewen/Python-Silk-Module/pull/12,PR Accepted
K0lb3-UnityPy,project,FileClosedAnalysis,https://github.com/K0lb3/UnityPy/pull/358,PR Opened
OnroerendErfgoed-skosprovider_rdf,project,FileClosedAnalysis,https://github.com/OnroerendErfgoed/skosprovider_rdf/pull/132,PR Opened
SigmaHQ-pySigma,project,FileClosedAnalysis,https://github.com/SigmaHQ/pySigma/pull/438,PR Opened
bcwaldon-warlock,project,FileClosedAnalysis,https://github.com/bcwaldon/warlock/pull/70,PR Opened
bjhall-upd,project,FileClosedAnalysis,https://github.com/bjhall/upd/pull/10,PR Opened
by-cx-InvoiceGenerator,project,FileClosedAnalysis,https://github.com/by-cx/InvoiceGenerator/pull/55,PR Opened
cernopendata-cernopendata-client,project,FileClosedAnalysis,https://github.com/cernopendata/cernopendata-client/pull/176,PR Opened
cisagov-clamav-report,project,FileClosedAnalysis,https://github.com/cisagov/clamav-report/pull/49,PR Accepted
citrusvanilla-tinyflux,project,FileClosedAnalysis,https://github.com/citrusvanilla/tinyflux/pull/62,PR Opened
dundee-mypy2junit,project,FileClosedAnalysis,https://github.com/dundee/mypy2junit/pull/7,PR Opened
dvc94ch-pykicad,project,FileClosedAnalysis,https://github.com/dvc94ch/pykicad/pull/43,PR Accepted
geekscape-aiko_services,project,FileClosedAnalysis,https://github.com/geekscape/aiko_services/pull/53,PR Opened
gutomaia-nesasm_py,project,FileClosedAnalysis,https://github.com/gutomaia/nesasm_py/pull/11,PR Opened
hfaran-Tornado-JSON,project,FileClosedAnalysis,https://github.com/hfaran/Tornado-JSON/pull/115,PR Opened
intezer-analyze-python-sdk,project,FileClosedAnalysis,https://github.com/intezer/analyze-python-sdk/pull/167,PR Opened
lsst-ts-ts_xml,project,FileClosedAnalysis,https://github.com/lsst-ts/ts_xml/pull/1054,PR Opened
macbre-mediawiki-dump,project,FileClosedAnalysis,https://github.com/macbre/mediawiki-dump/pull/302,PR Opened
microscopexyz-chainmetareader,project,FileClosedAnalysis,https://github.com/microscopexyz/chainmetareader/pull/106,PR Opened
ncrocfer-whatportis,project,FileClosedAnalysis,https://github.com/ncrocfer/whatportis/pull/25/changes,PR Opened
omergertel-pyformance,project,FileClosedAnalysis,https://github.com/omergertel/pyformance/pull/82,PR Opened
passaH2O-dorado,project,FileClosedAnalysis,https://github.com/passaH2O/dorado/pull/59,PR Accepted
sckott-habanero,project,FileClosedAnalysis,https://github.com/sckott/habanero/pull/206,PR Accepted
sekipaolo-pypingdom,project,FileClosedAnalysis,https://github.com/sekipaolo/pypingdom/pull/130,PR Opened
visgl-deck.gl,project,FileClosedAnalysis,https://github.com/visgl/deck.gl/pull/9500,PR Accepted
PaloAltoNetworks-xsoar-panos-upgrade-automation,project,FileClosedAnalysis,https://github.com/PaloAltoNetworks/xsoar-panos-upgrade-automation/pull/56,PR Opened
tigrus-dadata-python,project,HostnamesTerminatesWithSlash,https://github.com/tigrus/dadata-python/pull/4,PR Opened
psf-requests,library,HostnamesTerminatesWithSlash,https://github.com/psf/requests/pull/6936,PR Accepted
intuit-mastko,project,InPlaceSortAnalysis,https://github.com/intuit/mastko/pull/3,PR Opened
jgressier-cfdtools,project,InPlaceSortAnalysis,https://github.com/jgressier/cfdtools/pull/57,PR Opened
STIXProject-stix-validator,project,ItemInList,https://github.com/STIXProject/stix-validator/pull/87,PR Opened
bastikr-boolean.py,project,ItemInList,https://github.com/bastikr/boolean.py/pull/124,PR Opened
jessizanelato-desafio-fifa,project,ItemInList,https://github.com/jessizanelato/desafio-fifa/pull/1,PR Opened
samdmarshall-pbPlist,project,ItemInList,https://github.com/samdmarshall/pbPlist/pull/12,PR Opened
Azure-azure-iot-hub-python,library,ItemInList,https://github.com/Azure/msrest-for-python/pull/266,PR Opened
benoitc-gunicorn,library,ItemInList,https://github.com/gevent/gevent/pull/2157,PR Opened
